0.84	1.13	2.98
1.82	4.22	20.61
0.42	0.39	1.08
-3.03	7.65	67.92
-4.79	20.59	447.14
-1.68	1.97	6.91
4.60	23.45	571.25
7.91	66.60	4498.42
3.71	15.61	258.39
-5.44	26.88	752.90
-11.00	115.50	13460.72
-6.44	38.24	1503.43
5.46	32.57	1089.41
13.87	199.27	39901.23
9.75	100.02	10100.53
-4.61	18.92	378.83
-16.34	258.95	67319.47
-13.52	175.97	31147.66
2.85	9.53	98.43
18.26	342.52	117650.40
17.57	317.48	101102.74
-0.19	-0.06	-0.34
-19.46	369.08	136597.57
-21.73	461.49	213450.15
-3.31	9.29	96.99
19.83	403.00	162806.36
25.82	679.69	462652.39
7.59	61.33	3819.47
-19.25	360.76	130518.94
-29.64	863.77	746968.80
-12.53	150.62	22842.51
17.65	320.19	102833.57
33.00	1105.31	1222791.44
17.99	332.59	110939.87
-14.99	217.10	47357.47
-35.70	1256.93	1581137.91
-23.81	555.05	308652.41
11.26	132.46	17672.98
37.59	1431.65	2051043.70
29.80	903.21	816680.41
-6.50	39.04	1566.31
-38.49	1462.53	2140485.81
-35.77	1261.35	1592272.44
0.78	1.00	2.60
38.29	1485.32	2207642.20
41.48	1741.52	3034611.41
5.81	36.64	1375.12
-36.88	1341.42	1800762.48
-46.73	2160.69	4670759.98
-13.12	165.54	27575.37
34.18	1185.48	1406527.30
51.30	2657.82	7066628.86
20.98	450.82	203679.59
-30.17	895.42	802687.56
-54.99	2996.03	8979193.61
-29.21	838.44	703828.71
24.86	630.52	398172.36
57.59	3345.01	11192418.17
37.57	1430.10	2046608.55
-18.29	325.33	106174.94
